username,created_at,text,likes,reposts,urls,expanded_urls,section,merged_section
The Washington Post,2025-06-30 15:21:59,"The WNBA franchise expansion continues, with Cleveland, Detroit and Philadelphia all getting teams in the next five years. wapo.st/3IlQzJY",54,7,['https://wapo.st/3IlQzJY'],['https://wapo.st/3IlQzJY'],Sports,Sports
The Washington Post,2025-06-30 14:28:18,"TURNS OUT GETTING SMACKED IN THE HEAD IN BRAZIL IS FREE Health care is a constitutional right; all citizens and foreign residents are entitled to free treatment in the world’s largest public health system

@terrencemccoy.bsky.social describes his experience (link is free, too!)

wapo.st/4nsexU6",183,59,['https://wapo.st/4nsexU6'],['https://wapo.st/4nsexU6'],Health,Health
The Washington Post,2025-06-30 02:54:33,"Children clung to life in Sudan by the slenderest of threads, supported by community soup kitchens. Then the USAID funding cuts came, and their mothers watched them starve to death one by one. www.washingtonpost.com/world/2025/0...",136,77,['https://www.washingtonpost.com/world/2025/06/29/sudan-usaid-funding-cuts-trump-musk/'],['https://www.washingtonpost.com/world/2025/06/29/sudan-usaid-funding-cuts-trump-musk/'],World News,World
The Washington Post,2025-06-30 14:16:10,Guest column by Lesley Alderman: Betrayal is one of the most painful human experiences. Our relationships with friends and family not only define us — but they also help us survive.,287,81,['https://www.washingtonpost.com/wellness/2025/06/22/betrayal-feeling-coping-strategies/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],['https://www.washingtonpost.com/wellness/2025/06/22/betrayal-feeling-coping-strategies/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],Opinion,Opinion
The Washington Post,2025-06-30 12:22:31,"Almost every team in MLB — from the Yankees and Dodgers down to the Marlins, White Sox and Rockies — has invested in the fanciest pitching machine available.

The Nats still don't have one.
www.washingtonpost.com/sports/2025/...",6,1,['https://www.washingtonpost.com/sports/2025/06/30/baseball-tech-trajekt-arc-nationals/'],['https://www.washingtonpost.com/sports/2025/06/30/baseball-tech-trajekt-arc-nationals/'],Sports,Sports
The Washington Post,2025-06-30 13:21:50,The Supreme Court will hear a significant campaign finance case next term that will examine whether it violates the Constitution to restrict the amount of money that political parties can spend on individual candidates.,104,34,['https://www.washingtonpost.com/politics/2025/06/30/supreme-court-campaign-finance-party-donor-limits/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/politics/2025/06/30/supreme-court-campaign-finance-party-donor-limits/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-30 12:27:29,"The Trump administration has accused Harvard of being in ""violent violation"" of Title VI of the Civil Rights Act in a letter threatening all federal funding to the school.",78,35,['https://www.washingtonpost.com/education/2025/06/30/trump-harvard-civil-rights-violations/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/education/2025/06/30/trump-harvard-civil-rights-violations/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Education,Education
The Washington Post,2025-06-30 11:24:55,"NEW: Inside ""Operation Gold Rush,"" the biggest Medicare fraud bust ever.

For years, people got mysterious bills for catheters. 

Feds now say more than 1 million Americans' information was compromised in $10B-plus scheme.

Alleged perps still got away with $1B.

with @laurenweberhp.bsky.social",151,60,['https://www.washingtonpost.com/health/2025/06/30/health-care-fraud-bust-largest-in-us-history/'],['https://www.washingtonpost.com/health/2025/06/30/health-care-fraud-bust-largest-in-us-history/'],Health,Health
The Washington Post,2025-06-30 10:41:23,"As single-use plastic bottles pile up in landfills and pollute oceans, major concert venues in the U.S. are replacing them with cups that can be washed and reused hundreds of times.

www.washingtonpost.com/climate-solu...",96,23,['https://www.washingtonpost.com/climate-solutions/2025/06/30/reusable-cups-concerts-stadiums/'],['https://www.washingtonpost.com/climate-solutions/2025/06/30/reusable-cups-concerts-stadiums/'],Environment,Climate & Environment
The Washington Post,2025-06-30 10:46:06,"NEW: The Trump admin has vowed to hold companies accountable for employing undocumented workers

But ICE has overwhelmingly focused on arresting workers rather than punishing employers  

www.washingtonpost.com/immigration/...",143,48,['https://www.washingtonpost.com/immigration/2025/06/30/ice-raids-arrests-workers-companies/'],['https://www.washingtonpost.com/immigration/2025/06/30/ice-raids-arrests-workers-companies/'],Immigration,World
The Washington Post,2025-06-30 10:56:10,"New tax breaks. Massive spending on border security. Cuts to social safety net programs. Pullbacks on investments to fight climate change.

Here’s how President Trump’s budget bill will reshape the federal government — and the U.S. economy.",95,55,['https://www.washingtonpost.com/business/2025/06/28/republican-senate-trump-tax-immigration-plan/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/business/2025/06/28/republican-senate-trump-tax-immigration-plan/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-30 09:40:00,"A Washington Post review found that in at least seven major departments or agencies, DOGE secured the power to view records that experts say could benefit Elon Musk’s businesses for years.",911,470,['https://www.washingtonpost.com/investigations/interactive/2025/musk-doge-personal-data-tesla-companies/?itid=hp-top-table-main_p001_f005?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/investigations/interactive/2025/musk-doge-personal-data-tesla-companies/?itid=hp-top-table-main_p001_f005?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Business,Business & Economy
The Washington Post,2025-06-30 09:02:03,"With ICE poised to receive a massive infusion of cash courtesy the Republican spending bill, I figured it was worth documenting what they've been doing with the money they've currently got. Gift link: wapo.st/4lv53Wh",1042,498,['https://wapo.st/4lv53Wh'],['https://wapo.st/4lv53Wh'],Politics,Politics
The Washington Post,2025-06-30 08:27:24,"Support for Israel has been a cornerstone of GOP politics in recent decades. But views on the right are shifting — especially in Republicans under 50. 

“To be ‘America First,’ the Stars and Stripes must come before the Star of David,” said a 20-year-old conservative.",122,32,['https://www.washingtonpost.com/education/2025/06/30/young-republicans-are-fueling-gops-generational-divide-israel/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/education/2025/06/30/young-republicans-are-fueling-gops-generational-divide-israel/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-30 07:29:28,"A gunman intentionally started a fire and then ambushed responding firefighters, killing two, in a prolonged attack over several hours Sunday in a mountainous area of northern Idaho, authorities said.",2542,878,['https://www.washingtonpost.com/nation/2025/06/29/firefighters-idaho-attacked/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/nation/2025/06/29/firefighters-idaho-attacked/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Breaking News,Breaking News
The Washington Post,2025-06-29 16:30:23,"Often called the “love hormone” or the “cuddle hormone,” oxytocin is produced in the brain’s hypothalamus and acts as a chemical messenger. It promotes feelings of love, bonding and well-being.

Here are surprising ways to stimulate the release of oxytocin — without a hug.",559,116,['https://www.washingtonpost.com/wellness/2025/06/26/oxytocin-feel-good-hormone-natural-tips/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/wellness/2025/06/26/oxytocin-feel-good-hormone-natural-tips/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Health,Health
The Washington Post,2025-06-29 16:15:49,"Guest column by Josh Chen: At a time when LGBTQ+ people, especially trans folks, are vehemently politicized and pathologized as “abnormal” and “dangerous,” I set out to make images of warmth and connection.",148,30,['https://www.washingtonpost.com/dc-md-va/interactive/2025/photo-essay-worldpride-dc/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],['https://www.washingtonpost.com/dc-md-va/interactive/2025/photo-essay-worldpride-dc/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],Opinion,Opinion
The Washington Post,2025-06-29 15:33:55,"Hundreds of households celebrated Christmas in June for a little girl with cancer who might not make it to December. 

In the thick heat and humidity, neighbors dressed in holiday apparel gathered to help one family find happiness in the face of tragedy.",5423,859,['https://www.washingtonpost.com/dc-md-va/2025/06/29/christmas-surprise-girl-cancer-maryland-neighborhood/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/dc-md-va/2025/06/29/christmas-surprise-girl-cancer-maryland-neighborhood/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Human Interest,Human Interest
The Washington Post,2025-06-29 12:46:35,"When U.S.-supported soup kitchens in Sudan were forced to close because of Trump’s
funding stoppages, babies starved quietly, their mothers said, while older siblings died begging for food. www.washingtonpost.com/world/2025/0...",149,109,['https://www.washingtonpost.com/world/2025/06/29/sudan-usaid-funding-cuts-trump-musk/'],['https://www.washingtonpost.com/world/2025/06/29/sudan-usaid-funding-cuts-trump-musk/'],World News,World
The Washington Post,2025-06-29 13:44:33,Priscilla Chan’s decision to stop funding the school she opened to help struggling families shows the risks for communities reliant on wealthy private donors.,11027,4127,['https://www.washingtonpost.com/technology/2025/06/29/mark-zuckerberg-priscilla-chan-school-closure/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],['https://www.washingtonpost.com/technology/2025/06/29/mark-zuckerberg-priscilla-chan-school-closure/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],Education,Education
The Washington Post,2025-06-29 13:14:06,"Breaking news: U.S. intelligence obtained private communication among Iranian officials, discussing this month’s military strikes on Iran’s nuclear program and remarking that the attack was less devastating than they had expected.",661,281,['https://www.washingtonpost.com/national-security/2025/06/29/trump-iran-nuclear-damage-intercepted-call/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/national-security/2025/06/29/trump-iran-nuclear-damage-intercepted-call/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],International News,World
The Washington Post,2025-06-29 10:42:41,"‼️ New news on the ""One Big Beautiful Bill.""

It will add $3.3 trillion to the national debt over 10 years, according to CBO.

This doesn't include debt service payments, which will add at least another half trillion.

For context, the House bill *with* interest payments was $3.3 trillion.",180,83,[],[],Economy,Business & Economy
The Washington Post,2025-06-29 12:56:23,James will pick up his $52.6 million player option as the Lakers look to rebound from a second straight first-round playoff exit and build around Luka Doncic (via @bengolliver.bsky.social):,35,5,['https://www.washingtonpost.com/sports/2025/06/29/lebron-james-lakers-record-23rd-season/'],['https://www.washingtonpost.com/sports/2025/06/29/lebron-james-lakers-record-23rd-season/'],Sports,Sports
The Washington Post,2025-06-29 12:09:35,"A physician at a Sudanese clinic said basic antibiotics probably would have cured a three-year-old boy’s chest infection. The medicines had been scheduled to be delivered in February.

Then the new U.S. administration froze foreign aid programs. wapo.st/4kgohOr",513,272,['https://wapo.st/4kgohOr'],['https://wapo.st/4kgohOr'],Health,Health
The Washington Post,2025-06-29 11:23:30,"Across Portugal, Spain and France, some areas could exceed 100 degrees Fahrenheit in the coming days, the result of a hot-air mass that recently brought record-breaking heat and humidity to the eastern United States, and another from Africa.",1276,338,['https://www.washingtonpost.com/climate-environment/2025/06/29/southern-europe-heat-wave-2025/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/climate-environment/2025/06/29/southern-europe-heat-wave-2025/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Weather,Weather
The Washington Post,2025-06-29 10:34:56,Exclusive: Jose Ramon Hernandez Reyes is a three-time felon who has been released early from federal prison to a halfway house in exchange for his cooperation in the federal prosecution of Kilmar Abrego García.,5674,2784,['https://www.washingtonpost.com/immigration/2025/06/28/star-witness-against-kilmar-abrego-garca-was-due-be-deported-now-hes-being-freed/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/immigration/2025/06/28/star-witness-against-kilmar-abrego-garca-was-due-be-deported-now-hes-being-freed/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Crime,Crime
The Washington Post,2025-06-29 09:36:13,Senate Republicans narrowly advanced President Donald Trump’s mammoth tax and immigration agenda Saturday evening in a key procedural vote that tested the GOP’s fragile congressional majority.,63,18,['https://www.washingtonpost.com/business/2025/06/28/trump-big-bill-senate/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/business/2025/06/28/trump-big-bill-senate/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-28 16:53:26,Swimming in the ocean and other natural bodies of water provides a connection to nature that's effective at reducing stress.,488,78,['https://www.washingtonpost.com/health/2025/06/28/ocean-swimming-health-benefits/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],['https://www.washingtonpost.com/health/2025/06/28/ocean-swimming-health-benefits/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],Health,Health
The Washington Post,2025-06-28 15:58:06,"Almost two years after Lahaina's wildfires, a 57-acre development of hundreds of prefab homes is on track for full occupancy this summer.

It's a test of how quickly the government and private companies can prop up housing when there are few options.",654,152,['https://www.washingtonpost.com/business/2025/06/28/maui-disaster-relief-housing/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/business/2025/06/28/maui-disaster-relief-housing/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Housing,Infrastructure
The Washington Post,2025-06-28 15:28:20,"A salmon made from from cells grown in tanks became the first cell-cultured seafood to receive safety approval from the FDA.

Kann, a Haitian restaurant in Portland, is the first restaurant to offer it to diners.",1703,327,['https://www.washingtonpost.com/climate-solutions/2025/06/28/lab-grown-salmon-seafood-fishing-wildtype/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/climate-solutions/2025/06/28/lab-grown-salmon-seafood-fishing-wildtype/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Food News,Food & Lifestyle
The Washington Post,2025-06-28 15:18:27,"Viktor Orban tried to ban the Budapest Pride parade. He got the biggest one yet. Steve Hendrix reports from the Hungarian capital

www.washingtonpost.com/world/2025/0...",1040,233,['https://www.washingtonpost.com/world/2025/06/28/budapest-pride-hungary-ban-lgbtq/'],['https://www.washingtonpost.com/world/2025/06/28/budapest-pride-hungary-ban-lgbtq/'],World News,World
The Washington Post,2025-06-28 14:56:59,President Trump's birthright citizenship ban still faces steep challenges despite the Supreme Court's decision to limit the ability of lower-court judges to issue nationwide injunctions.,101,29,['https://www.washingtonpost.com/immigration/2025/06/28/birthright-citizenship-supreme-court-lawsuits/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/immigration/2025/06/28/birthright-citizenship-supreme-court-lawsuits/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-28 13:59:06,"Thousands of people lined up at the Minnesota Capitol to pay tribute to slain lawmaker Melissa Hortman and her husband, Mark. Between the caskets was an urn containing the ashes of the family’s golden retriever, Gilbert.",13784,2418,['https://www.washingtonpost.com/nation/2025/06/28/melissa-hortman-dog-lies-in-state/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],['https://www.washingtonpost.com/nation/2025/06/28/melissa-hortman-dog-lies-in-state/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],Obituaries,Obituaries
The Washington Post,2025-06-28 12:37:21,"The Senate took Trump's tax plan and made it appear nearly 90% cheaper.

Republicans changed how its cost was calculated in a way that would omit the estimated $4.2 trillion the plan would add to the national debt.",305,184,['https://www.washingtonpost.com/business/2025/06/28/senate-big-beautiful-bill-cost-trump/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/business/2025/06/28/senate-big-beautiful-bill-cost-trump/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-28 12:01:42,The Trump administration is seeking to cut the only federal after-school programming in the nation that funds activities that reach about 1.4 million students nationwide.,199,128,['https://www.washingtonpost.com/education/2025/06/28/after-school-program-funding/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/education/2025/06/28/after-school-program-funding/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Education,Education
The Washington Post,2025-06-28 11:32:23,"Exclusive: Rep. Nancy Mace (R-South Carolina) privately asked the Trump administration to release funding for a Mercedes-Benz plant in her state, according to a letter obtained by The Washington Post.",245,130,['https://www.washingtonpost.com/business/2025/06/28/nancy-mace-trump-mercedes/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/business/2025/06/28/nancy-mace-trump-mercedes/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-28 10:41:32,"The Trump administration is ending temporary legal protections for Haitian migrants in the U.S., leaving hundreds of thousands of people at risk of deportation.",98,56,['https://www.washingtonpost.com/immigration/2025/06/28/haiti-dhs-tps-temporary-protected-status/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],['https://www.washingtonpost.com/immigration/2025/06/28/haiti-dhs-tps-temporary-protected-status/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],Immigration,World
The Washington Post,2025-06-28 09:58:51,"Abusive messages, fear of physical violence and violations of privacy are the cost of elected office in the U.S. now, according to nine Gen Z and millennial state lawmakers.",3818,1124,['https://www.washingtonpost.com/politics/2025/06/28/politica-violence-young-lawmakers/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/politics/2025/06/28/politica-violence-young-lawmakers/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-27 20:58:31,"Officials at a small airport in northern Japan conducted a low-speed car chase Thursday to thwart a security risk: a small black bear.

Twelve flights were canceled as airport employees chased the bear around the runway, a Yamagata airport official said. wapo.st/4luRYMP",859,116,['https://wapo.st/4luRYMP'],['https://wapo.st/4luRYMP'],Local News,Local News
The Washington Post,2025-06-27 19:29:17,"A federal judge rejected President Trump’s executive order targeting the law firm Susman Godfrey, the fourth time a judge has dismissed his attempts to punish a prominent firm for taking on cases he dislikes.",401,88,['https://www.washingtonpost.com/politics/2025/06/27/judge-trump-law-firms-susman-godfrey/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],['https://www.washingtonpost.com/politics/2025/06/27/judge-trump-law-firms-susman-godfrey/?utm_campaign=wp_main&utm_source=bluesky&utm_medium=social'],Legal News,Crime
The Washington Post,2025-06-27 18:07:47,"While addressing jurors for roughly four hours, Sean “Diddy” Combs’s defense team called the sex trafficking case against him “badly, badly exaggerated” during their closing arguments, pushing back on the prosecution’s claims he ran a criminal enterprise.",45,5,['https://wapo.st/3ZTo24E'],['https://wapo.st/3ZTo24E'],Crime News,Crime
The Washington Post,2025-06-27 17:25:09,"Exclusive: The U.S. DOGE Service has lost the power to control the government’s process for awarding billions of dollars in federal funds, the latest sign of the team’s declining influence following Elon Musk’s exit from Washington.",1136,281,['https://wapo.st/3I4PciJ'],['https://wapo.st/3I4PciJ'],Politics,Politics
The Washington Post,2025-06-27 16:55:19,"President Donald Trump on Friday abruptly halted trade talks with Canada, citing the country’s plans to collect new taxes from large tech companies including Meta, Google, Amazon and other U.S. businesses.",111,28,['https://www.washingtonpost.com/politics/2025/06/27/trump-canada-digital-services-negotiations/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/politics/2025/06/27/trump-canada-digital-services-negotiations/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Business News,Business & Economy
The Washington Post,2025-06-27 16:08:18,"Breaking news: The S&P 500 index surged to a record high Friday, squeaking out a gain after President Donald Trump announced that he was ending trade talks with Canada.",30,7,['https://wapo.st/4etqYuP'],['https://wapo.st/4etqYuP'],Business,Business & Economy
The Washington Post,2025-06-27 13:15:13,"California Gov. Gavin Newsom sued Fox News for defamation, arguing that its coverage of a call he had with President Trump earlier this month was designed to damage his reputation.",162,15,['https://www.washingtonpost.com/style/media/2025/06/27/newsom-sues-fox-defamation/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/style/media/2025/06/27/newsom-sues-fox-defamation/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-27 12:50:50,"Protests have sprung up in response to Jeff Bezos and Lauren Sánchez's Venice wedding, including a variety of life-size mannequins placed throughout the city. 

The satirical project is protesting the billionaire's wedding as a symbol of unchecked wealth inequality. wapo.st/3I1z8hU",1357,384,['https://wapo.st/3I1z8hU'],['https://wapo.st/3I1z8hU'],Politics,Politics
The Washington Post,2025-06-27 12:27:35,"Twenty-five-year-old Deja Foxx’s run against Adelita Grijalva, the daughter of a longtime lawmaker who died in office this year, shows some of the tensions in today’s Democratic Party.",109,15,['https://www.washingtonpost.com/politics/2025/06/27/deja-foxx-gen-z-creator-congress-democrats/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/politics/2025/06/27/deja-foxx-gen-z-creator-congress-democrats/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-27 11:09:43,"He was raised alongside the U.S. men’s national team. Now he’s part of it.

My profile of MLS rising star Sebastian Berhalter and a father-son bond that has helped mold his career:

www.washingtonpost.com/sports/2025/...",79,11,['https://www.washingtonpost.com/sports/2025/06/27/sebastian-berhalter-usmnt/'],['https://www.washingtonpost.com/sports/2025/06/27/sebastian-berhalter-usmnt/'],Sports,Sports
The Washington Post,2025-06-27 08:34:36,"Republicans have the finish line in sight on Trump’s “One Big Beautiful Bill.”

This thing is massive and confusing — so we built a calculator to help you figure it out. 

Plug in your financial info and see what it means for YOU. 

www.washingtonpost.com/business/int...",100,61,['https://www.washingtonpost.com/business/interactive/2025/trump-big-beautiful-bill-your-taxes-cuts/'],['https://www.washingtonpost.com/business/interactive/2025/trump-big-beautiful-bill-your-taxes-cuts/'],Business,Business & Economy
The Washington Post,2025-06-27 11:23:03,"Breaking news: The Supreme Court upheld a law requiring age checks for porn sites, rejecting arguments that the law violates First Amendment rights.",64,13,['https://www.washingtonpost.com/politics/2025/06/27/porn-online-age-verification-supreme-court-decision/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/politics/2025/06/27/porn-online-age-verification-supreme-court-decision/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Legal News,Crime
The Washington Post,2025-06-27 10:58:09,"Breaking news: The Supreme Court ruled that religious parents can opt their children out of public school lessons with LGBTQ+ books, a case that could have implications for schools nationwide.",129,50,['https://www.washingtonpost.com/politics/2025/06/27/supreme-court-lgbtq-books-religious-parents/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/politics/2025/06/27/supreme-court-lgbtq-books-religious-parents/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Education,Education
The Washington Post,2025-06-27 10:49:23,"Breaking news: The Supreme Court upheld a portion of the Affordable Care Act that requires health plans to provide free preventive care such as cancer screenings, contraception and immunizations.",2515,484,['https://www.washingtonpost.com/politics/2025/06/27/obamacare-preventive-care-supreme-court-appointments-decision/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/politics/2025/06/27/obamacare-preventive-care-supreme-court-appointments-decision/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Health News,Health
